trade_id,timestamp_utc,ticker,side,order_qty,insider_date,insider_name,estimated_entry_price,take_profit_price,stop_loss_price,alpaca_order_id,status,exit_reason
2025-07-31-CASS-buy-500,2025-08-01T14:30:44.828004,CASS,buy,0.2906,2025-07-31,Resch Martin H.,40.01,44.01,36.01,c55311a9-5660-4dc9-9841-bdbb9d4ccf34,pending_new,
2025-07-31-MOFG-buy-600,2025-08-01T15:16:16.138958,MOFG,buy,0.4309,2025-07-31,Funk Charles N,26.98,29.68,24.28,da3cd889-27b1-474b-b8cb-9e85ffa08524,pending_new,
2025-08-01-TROX-buy-100000,2025-08-01T15:31:28.250739,TROX,buy,3.5824,2025-08-01,Romano John D,3.245,3.57,2.92,6119ed81-ae8b-4044-bc1e-6b4352000e7e,pending_new,
2025-08-01-EXFY-sell-9000,2025-08-01T16:17:00.973535,EXFY,sell,5,2025-08-01,Vidal Daniel,1.99,1.79,2.19,e9d07d0d-18ae-4496-b874-dfcdb84e7894,pending_new,
2025-07-31-SNV-buy-1000,2025-08-01T17:32:52.521989,SNV,buy,0.2508,2025-07-31,Montana Gregory G,46.36,51.0,41.72,ca14ae6f-0ab6-4b62-8f0e-f75abd4aa397,pending_new,
2025-07-30-ABG-buy-46952,2025-08-01T19:03:55.459883,ABG,buy,0.0517,2025-07-30,"ABRAMS CAPITAL MANAGEMENT, L.P",225.07,247.58,202.56,2021d061-fdd2-4878-8723-6c56fb352e3e,pending_new,
2025-07-31-BUSE-buy-3000,2025-08-01T19:03:57.704802,BUSE,buy,0.5261,2025-07-31,BRADSHAW STANLEY J,22.095,24.3,19.89,20fff97b-8f3f-4fa1-ae38-cf491eb63022,pending_new,
2025-07-30-TZOO-sell-30000,2025-08-01T19:49:31.652904,TZOO,sell,1,2025-07-30,AZZURRO CAPITAL INC,9.48,8.53,10.43,8741a2ab-a190-491d-8e27-13583795121d,pending_new,
2025-08-01-VIAV-sell-8385,2025-08-01T19:49:33.922787,VIAV,sell,1,2025-08-01,BELLUZZO RICHARD,9.805,8.82,10.79,f49d1571-c5b5-4f3b-8363-70b5702c3ef2,pending_new,
2025-08-01-NWBI-buy-3500,2025-08-01T19:49:36.321062,NWBI,buy,0.991,2025-08-01,Paup Mark A,11.73,12.9,10.56,8fd74b8c-f05f-41b2-bf9a-77da08f8320a,pending_new,
2025-08-05-LOOP-buy-20000,2025-08-08T08:59:45.156353,LOOP,buy,7.4375,2025-08-05,Hart Spencer,1.6,1.76,1.44,755cd179-9c86-4a95-a628-f710af6018ff,pending_new,
2025-08-05-LOOP-buy-20000,2025-08-08T08:59:45.181074,LOOP,buy,7.4375,2025-08-05,Hart Spencer,1.6,1.76,1.44,2a8ce2ba-64ae-4de4-80cf-34f120332b24,pending_new,
2025-08-05-WVE-sell-4872,2025-08-08T08:59:47.654467,WVE,sell,1,2025-08-05,TAKANASHI KEN,8.11,7.3,8.92,f655eb53-20fd-4710-9022-f9ccf84e5e0c,pending_new,
2025-08-05-WVE-sell-4872,2025-08-08T08:59:47.687461,WVE,sell,1,2025-08-05,TAKANASHI KEN,8.11,7.3,8.92,161e5144-7e17-49d4-b7c2-3eacee2b259d,pending_new,
2025-08-07-IFF-buy-15300,2025-08-08T08:59:51.219453,IFF,buy,0.1853,2025-08-07,Fyrwald J Erik,64.22,70.64,57.8,9e213667-6f27-4adb-a37b-6c1f42e91792,accepted,
2025-08-07-IFF-buy-15300,2025-08-08T08:59:51.241465,IFF,buy,0.1853,2025-08-07,Fyrwald J Erik,64.22,70.64,57.8,4cf7dd05-d15c-4560-baea-8424a490deed,accepted,
2025-08-07-RMNI-sell-24344,2025-08-08T08:59:54.180367,RMNI,sell,2,2025-08-07,Lyskawa Nancy,3.97,3.57,4.37,6c520f08-2427-4110-be9b-e0cc891e3318,pending_new,
2025-08-07-RMNI-sell-24344,2025-08-08T08:59:54.222971,RMNI,sell,2,2025-08-07,Lyskawa Nancy,3.97,3.57,4.37,e4065320-00c1-4812-a04c-e44033b76761,pending_new,
2025-08-05-TFX-buy-1000,2025-08-08T08:59:57.509138,TFX,buy,0.1031,2025-08-05,RANDLE STUART A,115.38,126.92,103.84,b1d23816-819c-4bf4-b7cd-59dc9a2a4d0a,accepted,
2025-08-05-TFX-buy-1000,2025-08-08T08:59:57.545179,TFX,buy,0.1031,2025-08-05,RANDLE STUART A,115.38,126.92,103.84,daa7450d-6716-4e7d-95b8-c9ae75d26750,accepted,
2025-08-07-EXPI-sell-10000,2025-08-08T09:00:00.966573,EXPI,sell,1,2025-08-07,Randall D.  Miles,10.23,9.21,11.25,982bcb6f-539c-46eb-bc20-a91b35f10b22,pending_new,
2025-08-07-EXPI-sell-10000,2025-08-08T09:00:00.993280,EXPI,sell,1,2025-08-07,Randall D.  Miles,10.23,9.21,11.25,c1612b43-be0d-4b7e-96f0-93d135141109,pending_new,
2025-08-07-UBFO-buy-55814,2025-08-08T09:00:03.922566,UBFO,buy,1,2025-08-07,GILL JAGROOP,8.65,9.52,7.79,9b872a55-8419-4bca-a26d-fdc83223951e,pending_new,
2025-08-07-UBFO-buy-55814,2025-08-08T09:00:03.982785,UBFO,buy,1,2025-08-07,GILL JAGROOP,8.65,9.52,7.79,516b8b56-d951-4a33-8561-ab6028e8af5b,pending_new,
2025-08-07-DTM-buy-150,2025-08-08T09:00:06.665191,DTM,buy,0.1142,2025-08-07,Jewell Jeffrey A,104.245,114.67,93.82,bf2b302a-9435-4315-bfc3-fe13b8d5a99e,accepted,
2025-08-07-DTM-buy-150,2025-08-08T09:00:06.734266,DTM,buy,0.1142,2025-08-07,Jewell Jeffrey A,104.245,114.67,93.82,fc94ae37-0e4c-489c-92db-f4dc4d1fd5e4,accepted,
